frecuencia1,ugen1,frecuencia2,ugen2,frecuencia3,ugen3,clase
8393,11,6578,1,3388,4,1
8085,8,15358,2,12385,3,0
6165,1,11507,5,10662,11,2
13664,6,19592,4,6826,9,1
16448,9,17434,9,15813,7,0
15997,2,12078,2,9769,8,3
9140,3,751,5,15869,10,2
3635,11,17884,7,5266,1,1
6387,9,3180,9,1115,8,2
4221,6,727,3,56,9,2
14698,4,3719,8,17204,7,3
4544,4,6398,1,7616,11,2
11678,8,8710,4,18907,10,0
16297,8,6075,6,15499,6,3
17114,5,10277,6,10923,2,3
4826,7,9585,5,36,11,1
4875,6,3990,4,2572,1,2
18473,4,723,4,13293,11,3
14030,3,4406,7,3291,4,3
14844,6,4071,2,3160,11,3
741,5,18662,1,18340,3,0
16573,9,4959,9,4752,10,3
12938,9,13580,8,4809,10,1
15637,6,1408,4,14480,11,3
7409,6,16397,5,16639,3,0
17959,7,17148,9,14238,10,0
13417,3,6596,2,1885,9,3
11734,1,9484,3,19213,1,0
10433,3,6404,6,4459,11,3
14516,7,11210,11,14431,4,0
15268,4,4642,9,15239,4,3
18847,9,11541,0,5677,9,3
12243,0,16417,9,8358,0,1
18262,9,13945,6,19368,3,0
3525,2,7574,8,17517,8,2
14989,7,19133,10,905,6,1
6970,7,3759,8,14996,0,2
17594,0,19286,0,7005,5,0
10733,10,3402,5,14223,9,2
9957,0,4381,0,1552,0,3
9965,10,12632,6,10249,8,0
6323,6,11355,3,12396,5,2
13942,7,12662,7,6315,3,1
3392,8,9686,6,9767,10,2
4887,7,12262,4,6938,5,1
7365,6,12952,8,17757,9,0
17181,11,15112,8,16963,6,0
1420,11,16423,11,2585,5,1
9893,11,8175,4,5224,4,1
1938,10,2393,1,13398,2,2
16512,4,2514,4,6712,7,3
7898,11,14882,0,16228,10,0
8932,10,1170,7,13104,5,2
14667,8,14590,10,17657,2,0
17995,9,12508,5,11733,2,0
3891,9,15320,5,2521,0,1
18359,1,13349,1,19638,9,0
13057,1,13204,6,12972,7,0
16079,11,12503,6,3455,9,1
3931,0,15442,1,10393,9,1
15962,0,4677,10,1650,5,3
3790,7,11389,0,18948,9,2
15439,2,3168,7,16831,2,3
8513,2,10181,2,15613,2,0
9885,6,15321,9,1337,7,1
10548,1,14782,1,2865,9,1
7985,6,17385,10,19699,5,0
3631,1,2598,6,113,7,2
8016,4,2020,10,1785,7,3
10772,6,3251,10,13879,10,2
1545,7,11995,10,10854,6,2
10346,9,13086,7,19779,1,0
2607,9,18447,6,12661,1,0
6322,8,9548,0,16843,9,2
13125,6,2058,5,13641,11,3
14888,5,3032,0,18662,10,3
18371,1,10900,3,4928,9,3
3192,4,17222,7,8633,8,1
13943,2,15725,8,6843,6,1
6273,8,8384,10,18790,0,2
15335,1,12933,7,16672,0,0
3778,6,19418,7,18667,1,0
15969,5,16815,3,15828,0,0
3430,4,11494,10,18178,2,2
4617,4,401,8,18169,11,2
1866,9,19696,6,14992,0,0
6978,1,18038,4,4179,1,1
17236,10,13586,10,4342,8,1
6993,9,9046,5,12606,2,2
15958,1,11067,3,14456,2,0
12606,7,18625,1,3677,1,1
16006,1,3481,7,9577,11,3
924,5,2937,0,3698,7,2
14675,3,13021,11,14540,8,0
3299,4,10959,10,5767,11,1
16364,2,632,0,4681,4,3
6806,11,3042,5,18117,6,2
9745,0,7906,5,15861,1,2
4487,0,17436,2,4620,10,1
9520,6,13040,7,7350,10,1
16423,3,3472,4,17224,5,3
16690,8,4127,2,8493,3,3
14885,2,2799,11,5810,0,3
5218,3,3948,4,18169,6,2
1632,10,507,0,3230,5,2
10328,4,15545,2,13642,2,0
9033,2,4501,0,12455,9,2
13625,3,2200,1,11548,1,3
13564,10,7824,0,18355,3,0
7813,8,12030,9,16029,0,0
16087,8,4848,9,18098,2,3
8176,9,17291,2,9560,11,1
14867,3,7941,2,18950,11,0
12003,3,9190,7,11383,11,3
842,5,6627,10,14834,8,2
8276,9,10946,10,13187,0,0
427,1,7846,1,1137,0,1
16191,0,5030,3,14873,7,3
701,10,1438,1,9198,3,2
8246,4,10134,11,12588,4,2
19085,2,19778,8,9281,3,0
18876,9,19891,6,6686,0,0
11589,0,19200,9,18122,2,0
6012,2,4321,10,19270,3,2
9744,3,14932,5,5960,8,1
10882,4,15376,9,8723,10,1
13925,6,19387,4,17874,5,0
239,5,1756,5,324,1,2
5443,1,17075,10,15602,10,0
4541,10,1795,3,12297,6,2
14189,7,7252,9,15630,0,3
4844,11,2318,3,3166,3,2
13391,8,19619,6,15403,4,0
13528,3,8292,2,19786,4,0
18675,5,16995,11,3402,10,1
3199,4,10029,4,15644,11,2
7099,1,19564,4,2400,6,1
10273,5,12474,10,7974,5,1
8474,1,9724,4,387,8,1
901,1,8285,4,15056,10,2
16353,11,9603,11,16779,10,0
8184,11,9587,2,5522,7,1
7858,2,4868,10,5093,4,2
11392,10,17464,11,11065,6,0
19748,0,4826,11,13955,0,3
16208,0,5799,10,4763,1,3
573,10,13334,3,1045,3,1
6002,2,14889,6,5880,2,1
927,4,14854,1,8841,3,1
13319,8,7009,5,16217,10,0
17005,7,19937,0,14437,2,0
19847,1,1728,0,2204,3,3
11801,9,10538,3,10995,0,0
5172,10,9782,0,14209,2,2
16853,1,9233,9,3398,1,3
13476,10,5968,0,7230,4,3
12140,10,10641,1,15732,11,0
5266,1,2929,5,10123,4,2
8983,5,17583,9,13500,0,0
270,2,4991,3,17551,0,2
13284,8,5363,7,31,9,3
17120,9,4533,6,13585,2,3
11349,3,3539,2,12893,0,3
16023,10,3994,3,13719,2,3
2488,9,17678,6,16241,3,0
2167,1,9523,1,11925,3,2
1321,1,11626,9,4602,11,1
18503,1,5431,2,7379,3,3
3328,4,286,0,18211,11,2
6783,10,13146,10,19050,8,0
14819,2,18443,11,13865,5,0
270,4,8693,5,5592,5,2
3419,7,10272,9,10819,4,2
12590,4,5747,11,14919,0,3
16270,10,13343,3,3784,9,1
5236,6,14041,8,16682,1,0
16119,11,17701,10,7947,11,0
4641,2,617,11,14087,9,2
9789,11,17466,1,16716,11,0
17916,3,5624,7,11726,1,3
16667,4,12887,5,18187,0,0
3501,2,18255,4,3649,8,1
2090,11,18735,10,1717,11,1
10716,8,16367,4,7054,8,1
16840,6,14119,1,18584,4,0
16400,0,10439,6,287,10,3
19545,8,2270,9,3886,4,3
8553,1,247,3,16410,5,2
6526,4,8899,8,13666,2,2
336,10,13001,0,6382,9,1
8763,5,7093,1,786,0,1
17867,3,4466,0,16685,0,3
15922,8,13774,3,18595,6,0
18943,9,10193,7,17444,2,0
11925,0,17171,3,15493,9,0
1108,2,333,7,19819,8,2
15842,9,571,3,10477,4,3
8313,7,4670,0,11468,4,2
11754,9,16859,5,16124,2,0
14138,6,13370,9,18003,10,0
17957,4,15598,10,11949,1,0
12377,1,12172,8,19940,6,0
11777,10,13801,3,7517,1,1
5776,0,11654,8,12863,9,2
8350,0,4633,1,13868,9,2
2486,8,19903,9,17726,5,0
15356,4,4671,8,17033,0,3
1960,7,9758,0,7680,8,2
6650,9,8184,2,5787,2,1
12417,11,9325,5,12135,11,3
9271,7,18497,3,11978,2,0
3894,8,16707,11,7683,7,1
3854,6,17597,8,3255,0,1
2574,0,2049,5,13194,1,2
7788,7,10714,4,14875,8,0
4145,10,5509,2,16035,5,2
8793,8,4086,9,6871,9,2
17647,10,2142,9,14113,11,3
2218,8,10449,1,6186,2,1
6475,6,12325,6,6951,3,1
5843,5,10425,4,7150,6,1
4450,3,16903,3,18687,9,0
19697,7,1574,1,9436,0,3
4880,11,4707,8,19590,0,2
14769,5,15990,9,16680,7,0
1703,6,10768,5,15232,9,2
9415,4,3093,7,18680,2,2
19092,0,18241,1,5417,1,1
7457,6,19829,1,1804,8,1
7159,0,11826,8,7606,7,1
1454,7,16915,6,12358,5,1
447,10,12194,7,17385,0,2
17975,4,9404,2,19280,8,0
9980,10,15117,11,6257,8,1
13277,3,19570,10,17504,7,0
6014,4,5568,3,11255,11,2
19445,0,14826,0,16081,3,0
11102,10,1450,3,8092,0,3
1344,1,13351,9,4454,6,1
10429,3,18618,10,1189,11,1
11975,7,10710,10,7534,11,1
2140,0,17787,2,19517,5,0
6391,6,11255,4,4641,11,1
1694,2,6024,0,15351,3,2
1375,1,15588,9,3372,9,1
13687,2,5437,2,14348,10,3
1819,7,4233,7,118,6,2
6636,4,16593,11,8253,6,1
2207,10,1570,6,10569,3,2
1024,9,13303,6,6896,4,1
7916,3,11249,9,2340,1,1
5619,11,2989,8,18309,0,2
16750,0,10717,8,7301,11,3
10347,6,12932,9,15458,6,0
2019,6,18098,5,9848,3,1
5619,0,19688,3,18172,7,0
16017,7,19405,10,11786,9,0
16672,3,6737,0,19605,1,0
5687,7,19788,11,4623,2,1
2686,1,16367,10,8928,3,1
17920,7,8143,1,7857,11,3
2966,5,17103,1,14892,9,0
18053,6,11394,11,621,3,3
3709,7,5518,6,5384,10,2
8069,0,2943,8,6013,10,2
14823,4,3710,4,6863,8,3
16861,7,18669,0,3133,5,1
7346,10,16616,2,1187,9,1
9371,11,6000,8,4731,7,3
3084,2,2057,2,6308,0,2
14912,4,1169,3,18051,4,3
8434,5,2907,3,2253,8,3
8897,10,18881,4,3939,1,1
4599,1,11701,2,17357,0,0
4173,6,6342,4,4753,7,2
15954,9,2408,2,19124,11,3
2444,3,11264,7,18528,1,2
3092,6,15316,7,18018,10,0
2118,9,18202,9,5945,4,1
5733,7,1909,6,15286,9,2
11663,6,1660,1,2650,4,3
1689,1,10591,9,4166,5,1
13617,2,2755,0,5833,10,3
11310,5,9790,6,7087,9,1
8138,1,12927,0,4148,7,1
1618,10,4194,9,329,4,2
969,2,5412,4,10992,3,2
14226,7,14703,1,18270,1,0
3621,3,18809,3,18697,11,0
14480,10,9396,11,16872,7,0
14369,7,16261,3,6735,6,1
10457,6,13025,6,4835,8,1
19570,5,5531,2,1848,1,3
2985,6,14771,7,3599,4,1
19163,1,7134,0,3120,0,3
14243,5,7216,11,18250,0,0
10376,2,12878,8,9733,11,1
4439,1,4893,2,16134,4,2
5793,6,1235,10,8347,1,2
3818,11,6392,2,17708,9,2
12767,11,16298,9,18402,5,0
10252,5,14600,1,1192,5,1
1852,4,19492,5,17052,10,0
19830,5,16972,6,8181,8,0
16594,10,18236,1,3809,8,1
12447,1,14508,0,17682,5,0
12583,10,13569,8,13755,4,0
12374,9,13103,11,1703,6,1
19007,2,15478,8,946,3,1
6480,9,6524,11,16933,2,2
19722,2,3235,7,766,4,3
4091,3,4721,0,3301,2,2
7944,8,11736,8,7534,7,1
15974,11,19983,4,14669,7,0
16553,5,8941,9,15181,0,0
17586,2,16582,7,3647,4,1
14744,8,16986,9,12806,5,0
3441,9,936,4,13576,3,2
6278,3,4627,11,10617,3,2
13233,10,16529,11,3147,11,1
17604,10,10871,4,14865,3,0
13905,7,14595,11,1685,1,1
7973,8,18648,7,4344,8,1
9449,8,9503,9,18812,10,0
5014,6,5607,0,11887,4,2
16841,4,8418,6,14932,1,3
7122,4,18129,1,14789,2,0
18336,11,1072,2,12460,6,3
8513,5,17773,0,7505,6,1
5986,4,15297,6,3460,4,1
12157,9,3167,3,8286,10,3
2871,6,4402,7,11395,4,2
1066,0,2084,5,14658,5,2
18288,4,19759,4,15801,7,0
19740,4,16251,3,16367,0,0
14129,8,10262,11,12502,5,0
10426,9,18661,2,7628,3,1
13863,10,3047,9,10939,6,3
19781,5,15155,8,7799,2,3
9946,4,15740,2,10732,4,0
14164,5,5363,8,9328,6,3
3937,2,17525,5,862,7,1
15980,2,6673,3,5874,10,3
13764,5,15501,11,220,2,1
12150,1,3498,4,724,6,3
5307,6,10646,8,14014,0,2
13637,5,12483,8,14634,3,0
9711,10,5827,5,16335,1,2
19139,3,13531,1,13173,10,0
18123,7,1620,2,10717,9,3
18736,0,4755,2,8323,4,3
1731,3,3256,7,19488,7,2
6771,2,12480,6,10493,4,1
10365,5,11289,5,18140,9,0
7437,5,12418,2,6677,10,1
259,4,10702,7,8666,11,2
4023,4,9835,3,7656,1,2
15078,2,5971,7,1820,0,3
19715,5,10784,4,15167,2,0
9599,5,582,2,12688,10,2
7577,2,9076,7,14908,5,2
10197,9,10649,0,13183,3,0
6757,4,1536,5,12713,3,2
17102,6,16246,8,18705,1,0
8136,9,18678,1,18486,11,0
1714,7,12801,9,1990,2,1
2221,9,6816,5,5236,6,2
6047,3,5847,8,17358,11,2
3627,11,2477,6,3871,10,2
2644,11,3608,11,10269,0,2
19116,6,11380,3,845,6,3
9245,1,3648,0,3142,7,3
14766,5,544,1,8273,0,3
9435,0,12241,6,12160,6,0
17816,9,755,11,19548,5,3
4474,3,12875,7,5738,8,1
142,1,15235,11,10366,1,1
5658,8,11957,4,9372,4,1
984,6,10517,5,18668,7,2
8277,3,9708,6,2954,11,1
17078,5,19835,6,5841,9,1
10321,5,9258,7,4470,7,1
1769,3,10408,11,5364,7,1
13413,0,18184,7,16158,7,0
9704,10,16124,3,3178,10,1
1304,1,12604,8,17706,6,2
16038,1,8171,4,8686,9,3
7758,11,13157,9,19608,9,0
8714,0,4264,1,5745,8,2
9007,10,13159,2,12082,1,0
16481,4,223,5,15235,4,3
10193,9,1774,8,456,9,3
5086,8,12034,6,13757,7,2
16717,6,7651,1,13286,0,3
18100,4,4138,2,10449,4,3
11589,6,14381,11,17390,4,0
64,11,12108,9,16430,1,2
12196,7,3641,11,6228,9,3
12325,5,19597,9,1378,10,1
3650,8,19867,3,10518,6,1
56,9,15748,7,16240,9,0
15154,11,5658,3,3429,6,3
3899,9,5555,0,18856,10,2
2794,6,17703,1,8506,11,1
11554,1,10394,8,9063,11,3
10764,4,18591,8,7168,3,1
17900,11,19062,8,7381,9,0
1177,10,1451,9,14530,6,2
3242,7,9904,10,14792,6,2
3304,5,19936,9,1153,2,1
3129,2,2304,8,8989,3,2
13549,2,9853,4,17669,9,0
2081,9,9808,10,8137,2,2
9086,5,11433,9,17756,11,0
8176,7,18001,5,4999,10,1
8720,6,3585,2,12745,5,2
7833,3,18367,6,4143,8,1
6233,9,8260,1,7944,9,2
16618,3,5200,3,630,10,3
11776,11,367,11,3487,0,3
8283,11,4918,9,10173,0,2
12910,0,6612,0,1157,8,3
19075,0,19169,0,14274,3,0
15531,0,1244,2,5887,4,3
13783,4,19761,10,1593,6,1
18940,5,8216,9,3978,5,3
8836,4,4688,0,18541,10,2
17430,2,17518,2,8734,2,0
672,0,12415,3,16974,1,2
3255,5,1579,9,18005,8,2
7273,0,18596,2,12114,9,0
8663,4,9416,11,17663,10,0
15880,2,12866,2,2502,2,1
9443,0,12008,5,9822,7,1
19107,1,5599,9,4969,8,3
12672,0,9239,3,7991,11,3
19210,9,19454,2,5248,6,1
10571,10,12028,0,12765,2,0
18461,8,9889,3,9568,7,3
18267,11,6099,11,9920,3,3
8865,10,18703,7,7535,8,1
11018,5,1861,10,5953,8,3
15880,10,8667,8,11933,4,3
4809,1,131,0,17558,5,2
12437,8,4496,2,6161,4,3
18684,0,13425,1,8595,6,3
1318,0,13581,4,3073,11,1
17754,10,11473,6,11882,6,3
16144,3,14141,7,16986,2,0
7342,9,7328,5,12781,11,2
6758,6,13318,10,13553,11,0
18382,0,16737,1,9645,2,0
11345,5,2399,6,19433,2,2
8279,9,7523,2,3345,3,1
9449,6,9129,9,14148,10,0
17563,3,2253,4,3878,11,3
11948,0,14692,6,1855,2,1
18410,4,19528,0,9005,5,0
9320,3,3611,6,2067,1,3
6127,3,5293,0,18427,1,2
16698,8,17327,5,17403,10,0
12810,0,19194,2,11929,5,0
13817,4,11450,4,11994,2,0
19044,2,10170,2,11672,3,3
1662,5,6273,10,15709,5,2
8943,9,3166,7,9301,4,2
7191,6,8487,1,13665,0,2
14338,3,15630,8,13497,7,0
3352,11,19582,0,16063,2,0
15867,8,14549,10,8359,0,0
8673,1,3188,4,13502,6,2
8443,8,11649,11,7841,5,1
7109,1,17640,4,11251,9,0
19219,10,19968,4,4928,8,1
15824,0,310,1,3577,6,3
19825,0,2070,9,19483,7,3
1967,8,5356,1,19598,11,2
18183,9,10178,9,2881,8,3
965,11,17976,5,12069,6,1
46,0,18366,11,11549,5,1
6779,9,151,6,13480,11,2
12165,5,10276,10,5616,2,1
13251,6,1415,3,7085,6,3
3665,7,7166,1,1115,11,1
3861,10,7696,11,2862,8,1
9184,7,17772,0,576,8,1
13328,10,6232,10,898,6,3
2217,2,3206,1,5768,4,2
5707,11,17381,1,16017,9,0
18473,7,3534,8,9034,2,3
17984,11,2714,9,18668,6,3
7739,9,4650,1,15691,1,2
17011,4,15787,4,16157,4,0
2885,5,235,10,7144,7,2
16138,10,5084,0,4494,0,3
8773,8,19311,3,10694,11,0
18845,8,13359,3,11167,9,0
12201,11,3994,2,12082,1,3
15264,4,13531,0,6862,8,1
17495,6,2831,11,6215,3,3
1292,1,411,5,626,4,2
11687,3,328,8,594,9,3
12278,7,12778,5,12603,6,0
11758,3,11429,4,6700,3,1
14639,9,8451,8,17241,1,0
1766,1,19195,8,9200,8,1
1658,4,3595,4,19381,10,2
47,1,7200,11,11459,2,2
8603,3,13060,2,16461,1,0
18617,9,10646,6,11713,2,3
13700,5,2479,10,17653,10,3
15841,6,18173,8,9770,8,0
9206,3,304,4,14186,1,2
9063,7,18002,11,11028,7,0
18798,4,11378,11,10584,4,3
14395,8,15079,5,17081,5,0
1888,9,8480,3,3204,2,1
10145,2,2503,2,12433,7,2
12525,9,6912,1,3124,10,3
9782,1,19665,3,10891,10,0
18666,10,11691,4,9355,1,3
18535,8,12787,5,4937,10,3
1242,4,5620,3,9936,11,2
17063,4,18138,10,16493,4,0
9478,8,8938,2,11741,2,2
1452,10,11334,8,3534,1,1
7436,6,9017,10,19035,4,0
3170,5,14817,5,16668,4,0
19067,4,1085,0,9074,6,3
7240,9,15765,0,17015,7,0
3976,0,1433,9,15293,9,2
10822,10,4928,8,11693,3,3
10411,2,13717,11,5685,8,1
19671,11,7228,7,8859,10,3
14789,1,8766,10,14229,0,0
7902,2,9264,8,14069,7,2
15320,3,15550,7,11383,5,0
1680,5,8287,6,8325,10,2
1108,0,14618,3,2322,1,1
6513,4,4230,1,13839,2,2
10524,2,11735,7,10326,7,0
15190,10,5311,1,9263,9,3
4923,2,17356,10,1875,7,1
1206,8,19935,11,4004,1,1
12865,10,3584,10,10519,10,3
5951,0,3847,10,13075,10,2
11508,10,11353,11,7592,7,1
8516,9,18060,4,14620,8,0
5280,3,13525,1,3273,5,1
11481,0,18163,1,3208,10,1
18780,9,13448,8,4003,1,3
19823,5,15068,6,13034,11,0
13081,4,15625,8,3755,11,1
15285,2,9232,9,10550,4,3
14157,8,7487,8,14917,10,3
19512,4,10431,8,2799,4,3
14164,8,4821,2,3451,4,3
18056,7,17596,8,628,8,1
8185,8,4706,3,5265,11,2
18294,10,15204,11,1207,1,1
1825,3,6996,9,4132,4,2
3561,7,10560,11,12101,10,2
6203,11,6719,1,3632,2,1
10498,11,15234,7,9606,5,1
9965,10,3001,0,17466,3,2
19793,6,8924,3,4684,0,3
13931,5,14667,9,16813,8,0
961,8,1295,0,16477,5,2
13872,4,7783,7,3673,4,3
15307,9,1465,4,4465,3,3
14088,8,13467,8,19469,4,0
4822,6,17990,6,14105,10,0
10117,7,2763,4,19288,7,2
6559,11,11753,6,12106,1,2
3933,5,6140,1,9248,9,2
8208,5,2809,10,2137,5,3
12476,6,8574,10,5743,9,3
1737,4,18275,10,15181,3,0
9868,4,8117,6,18247,8,0
17418,5,8438,10,5844,5,3
11642,11,13721,9,4556,7,1
17033,0,18556,0,12541,10,0
18532,11,7628,1,2552,1,3
2305,10,19142,6,13873,4,0
2185,2,15184,8,10402,6,1
5859,9,12343,5,7769,10,1
7716,4,7014,3,15590,8,2
14696,7,18125,0,16889,0,0
5372,11,3092,2,16807,3,2
15296,6,15919,6,9474,8,0
12102,11,7335,10,242,8,3
12112,6,7454,10,1333,0,3
6721,0,5794,6,14939,0,2
2016,10,10480,5,3415,9,1
19590,7,18688,11,17626,4,0
2453,0,2197,7,7229,4,2
15011,10,14471,0,19395,8,0
5253,10,6166,7,5044,9,2
17690,7,15483,0,17412,7,0
11434,6,7557,8,10938,4,3
3218,0,19408,2,4615,4,1
9475,9,5683,4,18450,7,2
15223,3,14539,2,12899,4,0
9760,4,8578,0,1132,4,1
10038,3,9329,1,14260,9,0
12711,6,6705,7,3735,3,3
9200,9,9371,1,11333,8,2
1707,0,13543,10,664,4,1
16251,4,13842,7,14011,9,0
1502,6,11463,1,12742,7,2
18862,8,14503,3,4429,2,3
8063,4,9481,3,3411,2,1
11473,11,1772,3,16518,9,2
17562,7,11809,8,5020,10,3
17350,3,8421,11,11365,4,3
17236,9,2710,6,4519,10,3
3151,0,649,1,16778,5,2
16936,5,13537,3,6652,5,3
9649,8,5096,8,18789,3,2
14979,1,11525,9,4055,5,1
10425,3,4364,4,6824,11,3
14866,2,17087,3,8204,10,0
16088,1,17774,4,6568,9,1
10980,8,14946,4,1891,6,1
6524,1,9426,8,6474,6,1
10598,1,8087,7,8388,2,3
9289,3,13732,1,6463,3,1
11700,8,15068,0,7448,3,1
2204,11,5567,2,17892,2,2
12310,1,17678,1,14107,10,0
10577,1,5825,10,2819,8,3
390,8,14032,1,1440,3,1
11263,4,323,3,4468,4,3
9001,4,1118,9,2601,0,3
15157,4,10451,1,4811,1,3
3925,6,11597,11,14221,1,2
15675,2,545,7,4409,1,3
17516,0,7740,8,13716,8,3
5781,5,6897,11,7873,9,2
16192,0,18771,2,5348,5,1
18054,4,8916,6,2774,9,3
9543,6,5172,1,19236,0,2
10120,1,1641,3,6650,0,3
3100,5,117,7,2387,4,2
11736,5,10947,7,7045,5,1
7229,5,1438,7,4549,7,2
5817,4,8146,6,381,9,1
10321,11,5483,1,6789,6,3
8798,0,5889,5,3420,2,3
6664,5,7786,1,11387,6,2
4570,6,18271,4,6291,8,1
5752,11,9915,0,18967,9,2
15850,5,11549,7,1756,2,1
10109,11,19710,7,16036,6,0
9944,9,14247,0,18085,2,0
6428,6,6018,0,14124,6,2
8758,3,14537,0,4344,3,1
1327,11,5801,2,5572,2,2
15566,9,5950,5,9344,3,3
6642,7,3237,5,17446,5,2
2884,11,9708,9,3257,2,1
17030,10,3447,7,7010,7,3
11487,7,16631,0,14614,5,0
1015,7,14923,1,2830,10,1
9662,5,17941,0,2441,5,1
9008,1,10824,2,11183,6,0
7368,9,7721,5,8720,0,2
4656,1,5919,0,31,2,1
12105,6,9919,1,4133,2,1
3075,0,19462,5,4033,10,1
10015,10,1786,6,14012,11,2
17118,0,17962,3,4107,7,1
51,9,5219,1,6357,11,2
5848,2,13248,2,19296,4,0
5453,6,11419,5,5696,2,1
885,0,3045,0,13348,8,2
16095,10,16181,7,5963,0,1
14733,9,18430,11,11938,5,0
17964,8,13933,11,1479,4,1
17130,5,7976,5,1175,5,3
289,8,18447,0,1529,2,1
18947,7,540,5,12388,7,3
2222,7,12119,6,8389,6,1
12444,7,15041,7,4916,0,1
13086,4,12105,5,11589,4,0
19066,7,19172,1,18023,9,0
5342,11,971,11,15963,11,2
648,8,15879,6,3261,9,1
10386,2,6037,2,10029,5,3
248,9,14594,6,870,3,1
15694,6,16634,7,16575,3,0
4566,7,16919,11,2070,8,1
3242,10,13784,8,17375,8,0
15567,0,19472,4,14884,11,0
1716,11,13010,8,14890,7,2
1684,3,15660,8,1606,2,1
11079,2,160,7,16747,2,2
15550,8,19925,4,9499,5,0
352,8,3891,0,7226,8,2
14005,11,11120,6,2846,11,1
13097,5,18700,6,2749,0,1
9733,2,13957,10,11928,10,0
10067,5,9712,3,19266,1,0
8545,5,10847,5,3318,2,1
1286,9,6084,0,224,8,1
1390,7,4683,4,15599,0,2
3704,6,19164,8,17227,9,0
10144,10,11442,10,3305,2,1
5219,7,5612,2,12450,10,2
7464,5,15874,8,783,3,1
17768,5,3526,3,15035,7,3
8125,9,15598,0,11517,3,0
15709,0,16064,11,9863,10,0
5602,5,1128,9,87,7,2
19494,0,18043,10,14336,4,0
13261,2,4334,3,18293,9,3
10330,7,18002,3,6996,10,1
10977,7,14980,0,18461,9,0
15839,1,9787,0,9916,2,3
18737,3,843,5,4685,8,3
940,5,6076,10,18277,3,2
17433,6,10868,11,452,6,3
12864,9,6950,11,19374,9,0
2860,11,2708,11,2522,6,2
3189,11,15821,3,16149,2,0
35,7,10218,6,8601,10,2
18900,2,7491,1,7337,9,3
16961,4,3960,1,16394,1,3
1369,6,19487,10,14656,5,0
5641,6,9547,4,12634,6,2
4719,3,8519,0,5175,6,1
6332,5,9520,0,11316,0,2
15325,5,8633,6,7041,10,3
4674,6,18670,1,10923,8,1
18477,8,3048,8,6307,2,3
14851,4,1745,6,18068,2,3
4138,7,3603,8,2930,11,2
11022,2,12116,1,12389,6,0
7149,8,7808,9,19516,4,2
14825,2,4035,6,12465,3,3
11017,2,18854,9,18603,1,0
16495,4,16876,2,6434,10,1
13263,8,18381,8,3919,10,1
7122,6,10267,9,10594,1,2
5587,2,8633,6,19905,9,2
9173,6,5576,7,7623,5,2
10495,2,13037,5,4139,1,1
2668,0,2318,0,18603,9,2
17165,0,751,5,16032,6,3
10215,8,1573,9,13836,3,2
4654,11,17504,7,10556,0,1
1202,11,3496,8,3890,9,2
7366,8,11674,6,306,1,1
15616,0,16983,11,18308,1,0
14279,4,6353,10,6744,2,3
18014,9,11340,9,5888,0,3
1892,1,1378,4,13473,3,2
2320,6,15141,5,15326,2,0
18871,11,2245,2,14578,5,3
3908,8,14662,2,11230,9,1
3559,6,15012,8,18057,0,0
8584,10,3618,8,10686,6,2
920,11,6776,3,6990,8,2
15933,3,18858,1,6025,11,1
2219,5,11015,5,2613,8,1
5396,5,11230,1,19703,11,0
4222,10,11679,6,11413,3,2
16990,4,1823,1,13087,3,3
4822,5,6150,9,5885,4,2
13454,4,10981,4,9690,2,3
105,9,7268,10,10500,0,2
1367,4,14172,10,19553,9,0
10479,7,9226,2,14136,8,0
3936,10,1987,6,5777,1,2
9703,2,17320,10,13703,3,0
13191,2,12109,8,11096,1,0
14477,0,16950,6,14599,6,0
696,1,13205,9,2820,6,1
7851,5,17285,7,4797,9,1
15740,2,9578,4,8466,3,3
8103,7,731,9,2006,9,3
15946,7,1124,1,13516,2,3
16568,5,12223,8,12831,1,0
18705,10,293,4,14375,7,3
9966,6,10011,9,15545,1,0
42,1,12909,9,18521,9,2
19341,7,1765,10,615,5,3
10084,2,14047,10,7612,7,1
782,8,12756,0,19163,3,2
15548,2,4031,0,12822,11,3
2081,2,1514,11,12655,8,2
5433,10,9085,4,9635,8,2
11267,1,5777,10,16493,6,2
18473,10,14222,10,15776,6,0
2504,5,1132,3,3479,4,2
12720,7,9789,7,19053,9,0
6870,9,5897,6,6300,5,2
17785,8,2631,2,17437,8,3
2195,5,10914,1,18532,2,2
17435,10,12514,5,5814,1,3
6651,2,14965,4,12924,8,0
19294,4,4513,7,4507,3,3
648,3,11337,3,4627,11,1
3241,1,3728,7,4876,5,2
3611,5,7630,3,14778,5,2
10202,3,4927,6,18792,4,2
14855,9,7137,6,12539,5,3
19709,6,14864,3,14660,2,0
6219,5,17248,2,12316,6,0
18624,10,13190,1,13599,4,0
13260,3,3270,11,6726,0,3
17074,1,18237,8,8317,6,0
2465,9,13601,10,12595,8,2
14363,10,3034,11,17688,2,3
11468,10,10192,7,3375,0,1
897,9,18347,11,7375,11,1
14725,5,16273,9,9934,2,0
17633,4,13187,6,2583,11,1
7406,5,18820,9,5774,9,1
14195,11,7598,1,1819,0,3
15900,5,15316,7,14186,11,0
13560,2,11498,3,8051,4,3
11580,2,14035,11,16315,8,0
12585,8,8820,4,14999,1,0
8578,3,6278,2,3675,1,1
4139,3,11860,8,10853,3,2
6543,5,18816,4,204,4,1
